account_id,client_id,account_type,balance
AKB100000,1,Everyday Deposit,92022.55
AKB100001,2,Savings,75899.3
AKB100002,3,Takaful Insurance Account,199055.05
AKB100003,4,Takaful Insurance Account,124572.21
AKB100004,5,Takaful Insurance Account,106065.94
AKB100005,6,Savings,63815.19
AKB100006,7,Everyday Deposit,58559.78
AKB100007,8,Islamic Financing - Advanced,110741.93
AKB100008,9,Islamic Financing - Basic,111822.96
AKB100009,10,Real Estate Financing,142799.79
AKB100010,11,Islamic Financing - Basic,123851.08
AKB100011,12,Student,32345.22
AKB100012,13,Takaful Insurance Account,194850.67
AKB100013,14,Savings,64341.61
AKB100014,15,Real Estate Financing,165414.22
AKB100015,16,Investment Account,242980.18
AKB100016,17,Islamic Financing - Basic,178109.64
AKB100017,18,E-Banking,116723.32
AKB100018,19,Savings,102973.49
AKB100019,20,Student,41157.97
AKB100020,21,Student,23637.4
AKB100021,22,Savings,96198.55
AKB100022,23,E-Banking,77895.65
AKB100023,24,E-Banking,126372.65
AKB100024,25,E-Banking,38388.6
AKB100025,26,Savings,94197.61
AKB100026,27,Everyday Deposit,106882.49
AKB100027,28,Takaful Insurance Account,138288.33
AKB100028,29,Real Estate Financing,249934.68
AKB100029,30,Savings,90746.88
AKB100030,31,Takaful Insurance Account,100266.91
AKB100031,32,Islamic Financing - Advanced,195005.96
AKB100032,33,Takaful Insurance Account,180284.72
AKB100033,34,Islamic Financing - Basic,48107.14
AKB100034,35,Student,12394.06
AKB100035,36,Everyday Deposit,135065.22
AKB100036,37,Savings,35906.21
AKB100037,38,Real Estate Financing,233956.31
AKB100038,39,Islamic Financing - Basic,139605.79
AKB100039,40,Student,18213.3
AKB100040,41,Savings,86287.14
AKB100041,42,Savings,143813.96
AKB100042,43,Takaful Insurance Account,166271.56
AKB100043,44,Student,22463.03
AKB100044,45,Student,63498.96
AKB100045,46,Student,35340.82
AKB100046,47,Savings,202010.14
AKB100047,48,Savings,56828.57
AKB100048,49,Savings,57685.49
AKB100049,50,Real Estate Financing,179867.85
AKB100050,51,E-Banking,31158.44
AKB100051,52,Everyday Deposit,66141.83
AKB100052,53,E-Banking,129219.72
AKB100053,54,Takaful Insurance Account,271535.68
AKB100054,55,Takaful Insurance Account,119776.47
AKB100055,56,Student,12771.96
AKB100056,57,Real Estate Financing,168336.77
AKB100057,58,Savings,122501.36
AKB100058,59,Everyday Deposit,62392.43
AKB100059,60,Savings,70789.04
AKB100060,61,Islamic Financing - Advanced,179013.88
AKB100061,62,Investment Account,232815.77
AKB100062,63,Takaful Insurance Account,154670.94
AKB100063,64,Savings,122753.35
AKB100064,65,Savings,84078.18
AKB100065,66,E-Banking,75419.52
AKB100066,67,Investment Account,188014.92
AKB100067,68,Everyday Deposit,23505.24
AKB100068,69,Everyday Deposit,125391.85
AKB100069,70,Everyday Deposit,33970.76
AKB100070,71,Takaful Insurance Account,113193.11
AKB100071,72,Student,19988.98
AKB100072,73,E-Banking,50095.62
AKB100073,74,Investment Account,185662.92
AKB100074,75,Real Estate Financing,289715.17
AKB100075,76,Everyday Deposit,35487.91
AKB100076,77,Islamic Financing - Advanced,138392.6
AKB100077,78,Islamic Financing - Basic,127623.12
AKB100078,79,Everyday Deposit,100311.75
AKB100079,80,Student,25387.86
AKB100080,81,Takaful Insurance Account,177353.03
AKB100081,82,Takaful Insurance Account,206283.01
AKB100082,83,Investment Account,209062.1
AKB100083,84,Savings,127728.72
AKB100084,85,Islamic Financing - Basic,105080.31
AKB100085,86,Savings,89037.7
AKB100086,87,Agricultural Financing,137839.14
AKB100087,88,Takaful Insurance Account,149502.39
AKB100088,89,Student,42137.27
AKB100089,90,Takaful Insurance Account,118436.4
AKB100090,91,Takaful Insurance Account,161095.25
AKB100091,92,Real Estate Financing,150322.79
AKB100092,93,Islamic Financing - Advanced,174630.12
AKB100093,94,Real Estate Financing,177463.28
AKB100094,95,Savings,93150.91
AKB100095,96,Real Estate Financing,238832.42
AKB100096,97,Investment Account,168447.19
AKB100097,98,Student,29475.76
AKB100098,99,Everyday Deposit,31766.86
AKB100099,100,Student,18430.84
AKB100100,101,Everyday Deposit,57147.92
AKB100101,102,Islamic Financing - Basic,113523.54
AKB100102,103,Student,26817.4
AKB100103,104,Takaful Insurance Account,144360.36
AKB100104,105,Savings,195219.87
AKB100105,106,Investment Account,120466.64
AKB100106,107,Student,15235.07
AKB100107,108,Investment Account,392372.66
AKB100108,109,Agricultural Financing,118801.53
AKB100109,110,Islamic Financing - Basic,45199.39
AKB100110,111,Real Estate Financing,129521.19
AKB100111,112,Investment Account,137675.01
AKB100112,113,Islamic Financing - Advanced,94251.59
AKB100113,114,Agricultural Financing,84507.6
AKB100114,115,Investment Account,209894.81
AKB100115,116,Everyday Deposit,94076.02
AKB100116,117,Investment Account,191492.25
AKB100117,118,Islamic Financing - Basic,190523.8
AKB100118,119,Savings,86482.18
AKB100119,120,Savings,58557.34
AKB100120,121,Real Estate Financing,151539.24
AKB100121,122,Savings,140706.0
AKB100122,123,E-Banking,75124.46
AKB100123,124,Savings,68456.83
AKB100124,125,Islamic Financing - Basic,71659.4
AKB100125,126,Real Estate Financing,206035.14
AKB100126,127,Islamic Financing - Advanced,133533.29
AKB100127,128,Real Estate Financing,260366.66
AKB100128,129,Islamic Financing - Basic,162241.94
AKB100129,130,Savings,137368.44
AKB100130,131,Islamic Financing - Advanced,191647.36
AKB100131,132,Everyday Deposit,33869.68
AKB100132,133,Real Estate Financing,201095.54
AKB100133,134,Student,12528.43
AKB100134,135,Investment Account,111568.04
AKB100135,136,Everyday Deposit,105892.55
AKB100136,137,Savings,170370.2
AKB100137,138,Savings,45254.36
AKB100138,139,Islamic Financing - Advanced,248559.38
AKB100139,140,Savings,64371.35
AKB100140,141,Real Estate Financing,138872.73
AKB100141,142,Everyday Deposit,60626.51
AKB100142,143,Savings,115434.04
AKB100143,144,E-Banking,39915.36
AKB100144,145,Savings,136369.28
AKB100145,146,Student,35133.41
AKB100146,147,Savings,32645.84
AKB100147,148,Real Estate Financing,348052.47
AKB100148,149,Investment Account,142655.88
AKB100149,150,Student,19691.65
AKB100150,151,Investment Account,213617.78
AKB100151,152,Takaful Insurance Account,144042.46
AKB100152,153,Student,21402.04
AKB100153,154,Savings,93772.27
AKB100154,155,Takaful Insurance Account,140824.42
AKB100155,156,Savings,124412.45
AKB100156,157,Savings,78774.11
AKB100157,158,Takaful Insurance Account,154410.69
AKB100158,159,Savings,101870.86
AKB100159,160,Everyday Deposit,75607.16
AKB100160,161,Investment Account,124398.35
AKB100161,162,Agricultural Financing,160920.23
AKB100162,163,Islamic Financing - Basic,89049.96
AKB100163,164,Investment Account,263480.69
AKB100164,165,Everyday Deposit,23278.76
AKB100165,166,Everyday Deposit,44759.83
